V1,V2,V3,word
-0.2949553138252423,0.07569802743919445,-0.5272786535745781,sad
-0.258336912150713,-0.08267681732588589,-0.6113004371822922,miserable
-0.35662778297930486,0.24864288333445073,-0.15556890791135305,happy
-0.2580039743004344,0.17085988251017903,0.01808574434962936,furious
-0.3355647725259748,0.28466715970390993,0.11705857260170073,ecstatic
-0.3053170398210313,0.2852883733493684,0.1916237834937231,surprised
-0.2941103607640555,-0.32239881317784785,-0.04833223751983137,depressed
-0.1751217555280236,-0.5237237221668262,0.0014481230862034274,depression
-0.23824421903029766,-0.33801464236487944,0.09801719604050349,manic
-0.20048952208304843,-0.4795372822053053,0.17349679604121065,bipolar
-0.3624464273721821,0.10336302253996847,0.25597161573536165,anxious
-0.318118629294743,0.029525786135739092,0.40714832020454933,nervous
